ENTREZID	SYMBOL	m1_Pb_DMSO.rpkm	m3_Pb_DMSO.rpkm	m2_Pb_DMSO.rpkm	m1_naive.rpkm	m2_naive.rpkm	m3_naive.rpkm
101497	Plekhg2	5.1	5.7	6.0	23.5	23.5	23.0
101809	Spred3	2.0	2.4	2.7	0.2	0.2	0.3
102032	Smim19	3.2	2.9	2.6	12.3	12.3	12.2
102098	Arhgef18	1.2	1.2	1.4	37.3	37.3	37.7
102103	Mtus1	0.0	0.0	0.0	0.3	0.3	0.3
102124	Enkd1	3.8	5.1	4.2	0.8	0.8	1.3
102371	Myzap	15.9	16.0	15.3	3.7	3.7	4.3
102502	Pls1	5.0	5.9	8.7	0.5	0.5	0.3
102657	Cd276	0.0	0.1	0.1	1.4	1.4	1.6
102857	Slc6a8	0.8	0.7	0.8	0.1	0.1	0.1
102920	Cenpi	12.2	12.5	10.7	0.8	0.8	1.0
103012	Firre	6.5	7.4	7.7	1.2	1.2	1.5
103140	Gstt3	9.0	10.0	9.5	0.7	0.7	0.5
103220	Ttc41	12.0	13.2	12.2	0.3	0.3	0.5
103712	6330403K07Rik	2.1	2.4	2.7	0.1	0.1	0.1
103841	Cuedc1	0.1	0.1	0.1	1.4	1.4	1.8
103963	Rpn1	405.3	398.2	413.2	40.2	40.2	38.4
103967	Dnm3	1.9	1.9	1.9	0.1	0.1	0.0
104001	Rtn1	0.0	0.0	0.0	3.4	3.4	3.3
104086	Cyp27a1	0.4	0.8	0.5	24.4	24.4	28.0
104099	Itga9	0.1	0.1	0.2	0.7	0.7	1.4
104103	Airn	3.4	2.9	4.6	0.1	0.1	0.1
104175	Sbk1	5.0	4.5	3.1	123.8	123.8	101.7
104271	Tex15	0.3	0.4	0.5	0.0	0.0	0.0
104444	Rexo2	131.3	127.0	122.7	15.3	15.3	15.1
104709	Pik3r6	4.5	5.3	4.5	0.4	0.4	0.6
104910	Slc25a47	2.3	3.2	2.6	0.2	0.2	0.3
105000	Dnal1	0.6	0.6	0.9	0.2	0.2	0.1
105245	Txndc5	710.8	743.8	752.4	72.5	72.5	69.2
105670	Rcbtb2	25.4	26.9	25.2	2.6	2.6	2.8
105785	Kdelr3	11.4	11.8	13.8	0.1	0.1	0.0
105827	Amigo2	81.5	93.5	121.9	2.0	2.0	2.0
105988	Espl1	23.5	25.7	22.9	1.0	1.0	1.1
106200	Txndc11	69.5	63.6	70.1	11.1	11.1	10.4
106344	Rfc4	49.7	54.1	47.2	6.3	6.3	7.3
106389	Eaf2	136.3	143.7	132.7	3.3	3.3	3.3
106512	Gpsm3	10.5	9.6	12.2	104.5	104.5	95.0
106582	Nrm	15.1	15.8	13.0	79.5	79.5	66.9
106633	Ift140	6.6	6.0	6.5	27.9	27.9	28.8
106763	Ttbk1	0.0	0.0	0.1	0.6	0.6	0.9
106795	Tcf19	27.7	29.6	27.5	3.0	3.0	3.0
107065	Lrrtm2	0.9	0.7	1.2	0.2	0.2	0.0
107239	Carns1	2.6	3.1	2.5	26.2	26.2	26.9
107271	Yars	111.0	114.1	102.8	16.4	16.4	15.1
107272	Psat1	147.1	142.6	127.1	10.6	10.6	10.0
107371	Exoc6	6.5	5.9	5.2	29.0	29.0	29.5
107503	Atf5	26.4	24.5	39.9	3.1	3.1	3.0
107513	Ssr1	74.9	73.4	76.9	16.5	16.5	17.0
107515	Lgr4	1.5	1.2	1.6	0.3	0.3	0.2
107607	Nod1	0.8	1.0	1.4	10.7	10.7	10.8
107766	Haao	2.3	1.7	2.1	58.0	58.0	63.5
107771	Bmyc	6.8	6.3	6.2	39.4	39.4	37.8
107869	Cth	9.0	8.2	7.0	0.1	0.1	0.1
107895	Mgat5	0.9	0.7	0.8	3.8	3.8	3.8
107975	Pacs1	5.1	5.4	6.0	32.3	32.3	28.3
107995	Cdc20	77.3	81.6	67.6	3.5	3.5	3.0
108000	Cenpf	15.7	14.9	15.4	0.8	0.8	1.0
108015	Chrnb4	0.5	0.5	0.4	0.1	0.1	0.0
108037	Shmt2	170.1	173.8	154.4	35.2	35.2	30.8
108052	Slc14a1	0.4	0.3	0.5	16.3	16.3	17.0
108089	Rnf144a	0.3	0.3	0.5	33.0	33.0	31.8
108097	Prkab2	1.1	1.0	0.8	7.8	7.8	9.2
108105	B3gnt5	2.9	1.9	2.7	93.4	93.4	99.2
108115	Slco4a1	35.9	44.6	41.3	1.8	1.8	1.9
108148	Galnt2	71.4	71.7	79.1	13.4	13.4	13.4
108153	Adamts7	0.2	0.2	0.1	0.0	0.0	0.0
108154	Adamts6	0.8	0.7	0.7	8.3	8.3	10.3
108670	Epsti1	4.0	3.8	5.4	45.8	45.8	45.7
108682	Gpt2	9.4	9.5	9.2	0.6	0.6	0.4
108687	Edem2	181.7	179.6	214.3	26.9	26.9	25.6
108797	Mex3b	0.5	0.4	0.6	2.4	2.4	2.1
108800	Ston2	2.0	1.6	3.2	0.3	0.3	0.5
108900	Fam72a	4.7	4.6	3.3	0.5	0.5	0.4
108907	Nusap1	57.8	53.7	56.0	3.2	3.2	4.0
108912	Cdca2	18.7	20.3	17.8	1.3	1.3	1.1
108956	Apol7c	0.0	0.0	0.0	24.1	24.1	30.1
108961	E2f8	23.3	21.7	19.3	1.6	1.6	1.9
109050	Fam212b	2.3	2.6	2.6	0.2	0.2	0.2
109129	Mmadhc	87.7	90.8	78.6	20.8	20.8	23.2
109212	Fam64a	11.5	9.6	11.4	0.6	0.6	0.7
109232	Sccpdh	7.4	7.6	8.3	2.0	2.0	1.7
109242	Kif24	3.2	3.2	3.2	0.6	0.6	0.7
109246	Tspan9	0.1	0.1	0.1	1.0	1.0	1.1
109620	Dsp	0.7	0.6	1.0	0.0	0.0	0.0
109689	Arrb1	2.6	2.8	3.5	15.6	15.6	15.9
109711	Actn1	0.6	0.4	0.7	5.2	5.2	6.6
109815	Vimp	227.1	238.6	222.6	41.6	41.6	36.7
110006	Gusb	81.2	80.3	81.9	18.1	18.1	16.5
110033	Kif22	60.8	62.4	57.8	4.3	4.3	4.8
110095	Pygl	0.1	0.1	0.3	3.5	3.5	4.3
110168	Gpr18	22.7	24.8	28.6	117.2	117.2	103.4
110172	Slc35b1	205.8	219.8	206.1	32.5	32.5	32.5
110197	Dgkg	5.7	5.3	7.1	0.2	0.2	0.2
110257	Hba-a2	0.0	0.0	0.0	51.6	51.6	165.3
110351	Rap1gap	11.5	11.9	16.2	2.5	2.5	2.0
110385	Pde4c	0.4	0.3	0.6	1.8	1.8	1.6
110454	Ly6a	966.3	1046.7	1337.1	165.4	165.4	226.0
110460	Acat2	28.1	26.9	25.9	6.6	6.6	6.2
110611	Hdlbp	242.5	234.6	235.2	31.7	31.7	31.7
110880	Scn4a	0.2	0.2	0.4	10.6	10.6	11.8
110920	Hspa13	51.9	47.6	49.3	3.7	3.7	4.0
111175	Pecr	24.6	23.6	22.9	1.3	1.3	2.2
112407	Egln3	12.8	13.5	18.8	0.2	0.2	0.2
11303	Abca1	2.6	2.4	3.0	23.2	23.2	22.9
11305	Abca2	2.3	2.7	2.8	10.5	10.5	11.7
11416	Slc33a1	49.5	49.6	52.5	6.4	6.4	6.1
11421	Ace	0.0	0.0	0.0	1.7	1.7	2.8
11423	Ache	0.4	0.5	0.5	0.0	0.0	0.2
11426	Macf1	17.2	16.0	19.1	78.5	78.5	92.2
11433	Acp5	12.2	12.3	16.2	120.0	120.0	103.7
114570	Crip3	0.0	0.0	0.0	3.1	3.1	3.5
114606	Tle6	1.8	2.5	2.9	0.2	0.2	0.2
114643	Oas1c	2.1	2.1	2.4	10.3	10.3	11.3
114663	Impa2	16.4	16.3	17.2	4.3	4.3	3.7
114664	Hsd17b11	1.4	1.3	1.7	20.1	20.1	18.6
114679	Selm	17.4	16.5	21.2	0.4	0.4	0.5
11482	Acvrl1	0.1	0.1	0.2	1.1	1.1	1.4
11486	Ada	56.7	51.8	51.2	4.1	4.1	4.3
11488	Adam11	0.0	0.0	0.0	1.8	1.8	2.3
11496	Adam22	0.1	0.2	0.1	0.6	0.6	0.8
11534	Adk	12.1	11.8	11.9	2.2	2.2	2.7
11555	Adrb2	5.2	5.3	6.6	35.6	35.6	37.7
11571	Crisp1	7.9	11.2	16.9	0.3	0.3	0.2
11576	Afp	0.1	0.3	0.2	2.3	2.3	2.3
11603	Agrn	3.5	4.7	6.3	1.0	1.0	1.2
11628	Aicda	15.4	9.8	10.0	2.1	2.1	1.3
11629	Aif1	0.2	0.1	0.4	4.9	4.9	5.8
11639	Ak4	2.0	1.8	1.7	0.0	0.0	0.0
11640	Akap1	7.8	8.0	6.7	0.4	0.4	0.4
11647	Alpl	156.5	146.0	191.7	3.6	3.6	2.9
11656	Alas2	0.6	0.4	0.5	1.5	1.5	4.6
11658	Alcam	72.5	71.1	79.3	9.0	9.0	9.0
11669	Aldh2	9.5	9.4	9.9	111.2	111.2	112.6
11676	Aldoc	18.1	18.2	29.4	3.8	3.8	4.4
116871	Mta3	2.7	2.5	2.1	22.1	22.1	20.2
11690	Alox5ap	0.7	0.8	1.3	28.7	28.7	28.6
117160	Ttyh2	0.2	0.2	0.1	1.5	1.5	1.6
11717	Ampd3	0.6	0.7	0.6	8.6	8.6	9.6
11732	Ank	1.0	0.9	0.8	7.1	7.1	7.0
11745	Anxa3	0.0	0.0	0.0	2.4	2.4	3.0
11768	Ap1m2	0.3	0.3	0.3	3.1	3.1	2.7
11777	Ap3s1	66.4	60.5	74.4	10.5	10.5	11.1
11799	Birc5	46.8	48.1	42.0	1.6	1.6	1.9
11801	Cd5l	0.4	0.5	0.7	3.5	3.5	7.9
11816	Apoe	4.5	5.3	5.3	80.3	80.3	77.1
11820	App	1.0	0.8	1.6	6.8	6.8	7.8
11910	Atf3	3.9	3.0	2.9	25.4	25.4	21.7
11979	Atp7b	0.7	0.7	0.8	0.1	0.1	0.3
11982	Atp10a	8.5	9.0	11.4	0.4	0.4	0.4
11989	Slc7a3	34.0	33.9	34.1	0.2	0.2	0.1
12014	Bach2	4.6	4.0	4.5	33.6	33.6	33.9
12021	Bard1	10.7	10.9	10.7	1.7	1.7	1.4
12029	Bcl6b	2.1	2.7	2.0	0.4	0.4	0.6
12035	Bcat1	6.0	5.4	3.5	0.2	0.2	0.2
12048	Bcl2l1	49.9	51.4	56.2	1.9	1.9	1.7
12053	Bcl6	2.3	1.8	2.1	64.9	64.9	56.5
12068	Bet1	56.8	59.8	58.0	8.5	8.5	11.0
12125	Bcl2l11	37.9	40.8	34.0	7.1	7.1	6.5
12142	Prdm1	115.5	125.5	120.8	1.3	1.3	1.2
12143	Blk	16.8	18.7	17.0	213.6	213.6	225.2
12144	Blm	19.0	17.9	17.1	3.3	3.3	3.8
12153	Bmp1	1.3	1.3	1.3	0.1	0.1	0.1
12166	Bmpr1a	0.9	1.0	0.9	0.1	0.1	0.0
12176	Bnip3	52.4	43.9	47.4	7.6	7.6	6.9
12192	Zfp36l1	56.5	62.8	63.5	403.2	403.2	364.0
12193	Zfp36l2	24.1	22.6	24.7	100.5	100.5	97.6
12212	Chic1	0.1	0.1	0.2	0.6	0.6	1.0
12215	Bsg	246.5	250.3	278.6	62.2	62.2	58.8
12226	Btg1	9.7	8.4	10.2	278.9	278.9	259.4
12235	Bub1	25.3	24.8	22.2	0.9	0.9	0.9
12236	Bub1b	60.6	64.5	60.5	4.2	4.2	4.0
12259	C1qa	0.0	0.0	0.0	9.4	9.4	17.4
12260	C1qb	0.1	0.3	0.6	7.9	7.9	19.1
12262	C1qc	0.0	0.0	0.0	9.5	9.5	24.7
12265	Ciita	2.1	1.9	1.8	66.5	66.5	67.1
12266	C3	0.0	0.0	0.1	2.9	2.9	3.3
12269	C4bp	8.6	9.1	7.4	0.0	0.0	0.0
12274	C6	0.0	0.0	0.0	1.0	1.0	2.4
12282	Hyou1	288.3	285.5	314.3	42.5	42.5	37.6
12292	Cacna1s	6.5	6.6	7.2	0.3	0.3	0.5
12304	Pdia4	877.9	854.8	914.2	140.8	140.8	124.4
12305	Ddr1	0.2	0.1	0.1	2.7	2.7	3.3
12306	Anxa2	0.7	1.0	1.9	9.2	9.2	8.3
12316	Aspm	11.7	10.7	10.9	0.5	0.5	0.5
12321	Calu	170.3	160.7	173.5	34.5	34.5	32.1
12349	Car2	2.9	2.6	2.7	10.3	10.3	19.1
12367	Casp3	39.4	39.2	41.9	8.5	8.5	9.7
12393	Runx2	0.0	0.0	0.0	1.3	1.3	2.0
12428	Ccna2	105.1	100.0	91.2	3.4	3.4	5.1
12442	Ccnb2	56.7	58.8	48.0	3.6	3.6	3.8
12443	Ccnd1	0.3	0.2	0.2	10.4	10.4	11.5
12444	Ccnd2	240.2	242.5	262.5	20.0	20.0	20.9
12447	Ccne1	31.7	32.7	30.9	6.6	6.6	6.1
12448	Ccne2	11.7	11.1	10.1	0.8	0.8	1.0
12449	Ccnf	14.6	15.5	13.8	1.4	1.4	1.2
12458	Ccr6	12.6	10.7	10.1	60.8	60.8	66.7
12475	Cd14	0.1	0.1	0.2	2.1	2.1	2.7
12477	Ctla4	79.9	82.5	94.8	1.0	1.0	1.2
12478	Cd19	96.4	110.2	91.2	440.0	440.0	459.3
12482	Ms4a1	61.8	62.0	58.9	277.8	277.8	307.2
12483	Cd22	18.9	19.0	16.4	295.0	295.0	298.5
12487	Cd28	10.0	7.9	12.5	0.8	0.8	0.8
12491	Cd36	127.7	127.7	84.4	20.6	20.6	23.2
12493	Cd37	20.3	22.0	21.7	273.3	273.3	269.6
12494	Cd38	19.2	16.3	28.3	102.1	102.1	105.8
12495	Entpd1	36.3	34.8	42.3	7.9	7.9	9.9
12501	Cd3e	0.0	0.0	0.0	2.7	2.7	2.6
12502	Cd3g	0.2	0.1	0.1	3.4	3.4	4.3
12504	Cd4	0.0	0.0	0.1	5.5	5.5	6.8
12507	Cd5	0.0	0.1	0.1	2.9	2.9	3.1
12514	Cd68	4.6	4.4	5.4	18.7	18.7	22.6
12515	Cd69	12.8	17.3	11.7	61.7	61.7	63.5
12516	Cd7	0.0	0.0	0.0	20.3	20.3	22.6
12517	Cd72	15.4	14.9	15.4	193.4	193.4	203.2
12522	Cd83	20.7	18.2	16.7	158.0	158.0	123.1
12523	Cd84	7.0	7.7	8.6	37.6	37.6	40.1
12524	Cd86	3.4	2.7	5.6	18.2	18.2	22.8
12525	Cd8a	0.1	0.0	0.0	5.6	5.6	4.6
12530	Cdc25a	22.1	22.9	20.7	4.9	4.9	4.4
12532	Cdc25c	20.7	22.4	19.1	0.5	0.5	0.4
12534	Cdk1	55.7	59.2	51.9	1.4	1.4	2.1
12544	Cdc45	68.3	68.3	66.1	3.4	3.4	2.7
12558	Cdh2	0.9	1.1	1.6	0.3	0.3	0.1
12575	Cdkn1a	12.4	16.1	16.5	3.1	3.1	1.9
12578	Cdkn2a	19.3	22.2	22.6	0.1	0.1	0.2
12579	Cdkn2b	9.4	11.6	9.9	0.3	0.3	0.3
12580	Cdkn2c	22.5	22.4	22.6	4.4	4.4	4.7
12585	Cdr2	16.0	15.9	15.0	1.0	1.0	1.5
12606	Cebpa	0.0	0.0	0.0	1.3	1.3	1.7
12649	Chek1	14.4	14.9	14.4	0.7	0.7	0.7
12655	Chil3	0.0	0.0	0.0	11.7	11.7	4.3
12695	Inadl	0.1	0.1	0.1	2.2	2.2	2.3
12696	Cirbp	18.1	20.5	20.1	110.2	110.2	112.1
12700	Cish	21.5	25.4	31.5	0.4	0.4	0.5
12704	Cit	7.9	8.0	8.6	0.7	0.7	0.7
12709	Ckb	48.7	51.5	56.8	6.6	6.6	8.1
12745	Clgn	0.5	0.6	0.3	0.1	0.1	0.0
12768	Ccr1	0.1	0.1	0.1	4.0	4.0	3.2
12771	Ccr3	0.0	0.0	0.0	1.6	1.6	4.3
12772	Ccr2	0.1	0.0	0.1	6.2	6.2	7.9
12775	Ccr7	5.4	4.6	7.4	222.9	222.9	174.0
12777	Ccr10	2.7	2.9	2.3	0.0	0.0	0.0
12798	Cnn2	36.8	35.5	33.2	269.1	269.1	245.2
12799	Cnp	25.2	24.1	26.1	104.3	104.3	100.8
12802	Cnr2	3.1	2.7	2.8	75.3	75.3	74.2
12807	Hps3	3.6	4.1	3.0	18.5	18.5	21.0
12836	Col7a1	1.2	1.6	1.6	0.4	0.4	0.3
12874	Cpd	5.4	5.1	7.0	0.4	0.4	0.5
12890	Cplx2	0.4	0.4	0.5	4.4	4.4	4.3
12892	Cpox	29.8	28.0	26.5	6.2	6.2	6.9
12902	Cr2	7.6	8.2	7.1	158.3	158.3	168.4
12916	Crem	9.2	9.3	10.7	2.5	2.5	2.3
12931	Crlf1	2.8	2.1	2.9	0.1	0.1	0.1
12977	Csf1	0.3	0.3	0.7	1.9	1.9	1.6
12978	Csf1r	0.0	0.0	0.0	9.2	9.2	16.8
12983	Csf2rb	84.4	87.1	110.6	11.5	11.5	13.3
12984	Csf2rb2	17.9	19.5	27.4	3.6	3.6	4.8
12986	Csf3r	0.0	0.0	0.0	3.7	3.7	4.2
13003	Vcan	0.3	0.2	0.2	0.1	0.1	0.1
13024	Ctla2a	0.6	0.7	1.0	3.5	3.5	2.9
13036	Ctsh	30.6	31.4	25.8	228.0	228.0	249.3
13041	Ctsw	0.6	0.5	0.7	2.9	2.9	3.9
13043	Cttn	2.7	2.6	3.3	0.3	0.3	0.3
13051	Cx3cr1	0.0	0.0	0.0	3.1	3.1	3.1
13052	Cxadr	1.5	1.5	1.8	0.1	0.1	0.1
13056	Cyb561	1.0	1.1	1.3	0.1	0.1	0.1
13121	Cyp51	78.8	71.7	81.1	10.2	10.2	10.2
13136	Cd55	8.4	8.4	8.8	213.7	213.7	213.9
13137	Cd55b	1.7	1.3	1.1	23.9	23.9	27.3
13143	Dapk2	0.7	0.7	1.3	0.2	0.2	0.1
13167	Dbi	155.7	155.9	137.1	33.8	33.8	32.7
13196	Asap1	5.2	5.1	5.9	27.0	27.0	24.3
13200	Ddost	440.9	438.5	460.0	59.1	59.1	55.5
13202	Ddt	200.0	212.3	190.3	27.3	27.3	27.7
13361	Dhfr	13.3	14.5	12.5	1.9	1.9	1.9
13417	Dnah8	0.0	0.0	0.0	2.1	2.1	2.1
13421	Dnase1l3	0.3	0.2	0.2	25.4	25.4	25.0
13496	Arid3a	72.7	69.7	71.5	12.1	12.1	12.7
13497	Drp2	0.7	0.7	0.7	0.0	0.0	0.0
13508	Dscam	0.0	0.0	0.0	1.2	1.2	1.0
13537	Dusp2	10.4	13.7	13.9	151.9	151.9	141.7
13555	E2f1	17.9	18.9	19.0	3.4	3.4	3.3
13591	Ebf1	5.6	5.4	5.0	47.4	47.4	40.9
13603	Opn3	1.2	1.6	1.0	7.4	7.4	9.0
13605	Ect2	19.5	18.8	17.3	1.5	1.5	1.4
13609	S1pr1	4.5	4.7	4.1	145.7	145.7	127.3
13610	S1pr3	0.2	0.2	0.2	11.5	11.5	7.2
13643	Efnb3	1.6	1.6	1.5	0.2	0.2	0.3
13653	Egr1	7.7	14.7	10.5	107.9	107.9	95.5
13654	Egr2	1.6	2.3	2.6	13.8	13.8	12.6
13655	Egr3	1.4	1.3	1.8	70.9	70.9	60.2
13661	Ehf	0.1	0.1	0.1	1.2	1.2	0.8
13730	Emp1	1.7	1.4	1.2	0.1	0.1	0.1
13733	Adgre1	0.1	0.0	0.1	6.2	6.2	11.2
13801	Enam	0.5	0.4	0.8	0.0	0.0	0.0
13808	Eno3	2.8	3.3	4.1	16.0	16.0	16.7
13819	Epas1	2.8	2.9	3.5	0.2	0.2	0.2
13830	Stom	1.0	1.1	1.4	9.3	9.3	10.1
13849	Ephx1	4.1	3.9	5.7	95.8	95.8	89.1
13852	Stx2	0.8	0.9	1.3	5.0	5.0	5.4
13860	Eps8	0.4	0.4	0.4	3.8	3.8	4.5
13982	Esr1	0.0	0.0	0.1	0.7	0.7	0.7
14007	Celf2	3.4	3.1	3.3	15.3	15.3	14.9
14012	Mpzl2	0.9	1.3	1.5	0.1	0.1	0.1
14020	Evi5	34.8	32.7	41.7	3.5	3.5	4.1
14025	Bcl11a	3.6	3.4	2.5	37.2	37.2	36.0
14026	Evl	5.0	3.8	5.0	94.9	94.9	94.3
140497	AF251705	0.0	0.0	0.0	4.1	4.1	6.8
14056	Ezh2	80.3	81.4	71.2	13.8	13.8	14.3
140577	Ankrd6	0.5	0.4	0.5	0.1	0.1	0.1
14067	F5	0.0	0.0	0.0	0.4	0.4	0.5
140703	Emid1	0.3	0.2	0.2	19.0	19.0	17.4
140742	Sesn1	8.2	9.2	10.1	45.8	45.8	45.2
14077	Fabp3	5.1	4.2	4.7	0.5	0.5	0.8
140780	Bmp2k	4.9	4.5	4.6	30.8	30.8	31.8
14086	Fscn1	0.3	0.3	0.3	11.6	11.6	8.9
140917	Dclre1b	10.6	11.6	11.1	2.8	2.8	2.8
14127	Fcer1g	1.7	1.7	1.8	40.0	40.0	43.4
14128	Fcer2a	5.9	4.7	4.8	357.8	357.8	400.7
14132	Fcgrt	0.1	0.1	0.2	18.1	18.1	19.7
14133	Fcna	0.1	0.0	0.1	4.8	4.8	13.2
14137	Fdft1	30.8	29.2	32.2	7.0	7.0	6.8
14156	Fen1	92.3	96.9	95.4	15.3	15.3	15.3
14159	Fes	1.6	1.7	1.7	14.2	14.2	15.3
14166	Fgf11	5.2	5.4	7.0	0.3	0.3	0.2
14168	Fgf13	0.2	0.2	0.2	1.1	1.1	1.3
14191	Fgr	0.3	0.4	0.5	27.3	27.3	29.5
14204	Il4i1	1.3	1.1	1.6	15.0	15.0	18.9
14211	Smc2	42.5	39.9	38.5	7.2	7.2	7.4
14218	Sh3pxd2a	1.7	1.6	1.8	22.4	22.4	21.9
14227	Fkbp2	156.2	156.1	170.5	29.7	29.7	27.7
14235	Foxm1	56.3	56.4	56.2	3.5	3.5	3.7
14263	Fmo5	0.3	0.3	0.3	2.8	2.8	3.2
14268	Fn1	0.1	0.1	0.1	3.4	3.4	5.4
142688	Asb13	3.3	3.2	4.0	18.9	18.9	20.6
14281	Fos	3.7	4.0	3.3	308.9	308.9	308.1
14282	Fosb	0.3	0.2	0.3	149.0	149.0	138.2
142980	Tlr3	0.0	0.0	0.1	3.1	3.1	3.2
14343	Fut1	5.6	5.1	7.4	0.1	0.1	0.0
14357	Dtx1	12.6	12.2	13.1	62.1	62.1	45.9
14411	Slc6a12	0.0	0.1	0.1	0.6	0.6	0.6
14415	Gad1	0.0	0.0	0.0	1.8	1.8	2.1
14421	B4galnt1	14.2	13.7	13.0	133.9	133.9	123.2
14468	Gbp2b	1.2	0.5	1.6	0.1	0.1	0.1
14525	Gcsam	0.0	0.0	0.0	2.1	2.1	1.6
14537	Gcnt1	1.5	1.5	1.8	16.7	16.7	19.6
14538	Gcnt2	0.1	0.0	0.0	0.7	0.7	0.7
14544	Gda	0.0	0.0	0.0	1.1	1.1	1.5
14561	Gdf11	0.9	0.7	0.9	21.8	21.8	19.8
14571	Gpd2	1.8	1.8	1.8	10.8	10.8	10.2
14579	Gem	6.8	7.1	7.8	31.0	31.0	26.9
14582	Gfi1b	0.8	0.9	0.5	0.0	0.0	0.4
14583	Gfpt1	48.7	44.5	48.5	11.4	11.4	11.7
14586	Gfra2	0.0	0.0	0.0	1.0	1.0	2.1
14595	B4galt1	144.1	138.5	154.0	29.7	29.7	28.3
14599	Gh	0.4	0.5	0.3	3.1	3.1	4.0
14605	Tsc22d3	7.5	6.5	8.7	118.1	118.1	122.5
14645	Glul	8.8	8.2	8.7	47.4	47.4	46.6
14664	Slc6a9	4.4	4.9	5.0	0.1	0.1	0.6
14686	Gnat2	2.0	1.9	2.2	0.1	0.1	0.0
14687	Gnaz	5.0	4.2	4.4	0.1	0.1	0.0
14695	Gnb3	1.4	1.6	2.2	0.0	0.0	0.0
14704	Gng3	1.2	1.5	1.3	0.1	0.1	0.2
14727	Lilr4b	0.0	0.0	0.1	4.7	4.7	5.6
14728	Lilrb4a	0.2	0.1	0.3	9.3	9.3	11.8
14758	Gpm6b	0.1	0.1	0.1	0.8	0.8	0.9
14778	Gpx3	17.5	15.7	21.7	1.1	1.1	1.0
14793	Cdca3	123.7	119.9	109.5	3.7	3.7	4.6
14828	Hspa5	952.1	962.7	1022.3	248.5	248.5	236.3
14841	Gsg2	15.9	16.3	15.0	3.3	3.3	3.2
14870	Gstp1	298.9	304.1	282.0	75.4	75.4	72.1
14871	Gstt1	17.6	16.8	24.0	0.3	0.3	0.1
14872	Gstt2	58.8	63.1	51.7	8.1	8.1	9.7
14913	Guca1a	7.7	7.3	8.2	0.3	0.3	0.5
14938	Gzma	0.7	0.7	0.4	5.0	5.0	6.4
14950	H13	117.6	114.6	120.2	12.2	12.2	11.7
14958	H1f0	88.8	84.4	110.1	4.9	4.9	6.1
14960	H2-Aa	73.7	71.2	62.3	863.1	863.1	849.4
14961	H2-Ab1	175.2	174.0	158.1	1399.1	1399.1	1333.9
14969	H2-Eb1	96.0	96.3	95.4	992.9	992.9	946.6
14977	Slc39a7	111.1	116.7	112.8	27.9	27.9	28.0
14990	H2-M2	0.0	0.0	0.0	4.9	4.9	6.1
14998	H2-DMa	15.4	15.3	15.3	238.4	238.4	215.5
14999	H2-DMb1	10.4	9.0	10.1	274.0	274.0	246.6
15000	H2-DMb2	24.1	17.8	17.0	528.2	528.2	472.2
